key	lang	from-state	applied
uni.q.wt	fr	absent	yes
uni.q.wt	he	absent	yes
uni.q.wt	hi	absent	yes
uni.q.wt	bn	absent	yes
uni.q.wt	fa	absent	yes
uni.q.wt	ur	absent	yes
uni.q.wt	ja	absent	yes
uni.q.wt	da	absent	yes
uni.q.wt	nb	absent	yes
uni.q.wt	sv	absent	yes
uni.q.wt	fi	absent	yes
uni.q.wt	tr	absent	yes
uni.q.wt	hu	absent	yes
uni.q.wt	sa	absent	yes
uni.q.day	en	absent	yes
uni.q.day	ru	absent	yes
uni.q.day	lv	absent	yes
uni.q.day	th	absent	yes
uni.q.day	gd	absent	yes
uni.q.day	tt	absent	yes
uni.q.day	uk	absent	yes
uni.q.day	cs	absent	yes
uni.q.day	zh	absent	yes
uni.q.day	ko	absent	yes
uni.q.day	ar	absent	yes
uni.q.day	nl-be	absent	yes
uni.q.day	es	absent	yes
uni.q.day	nl	absent	yes
uni.q.day	de	absent	yes
uni.q.day	fr	absent	yes
uni.q.day	he	absent	yes
uni.q.day	hi	absent	yes
uni.q.day	bn	absent	yes
uni.q.day	fa	absent	yes
uni.q.day	ur	absent	yes
uni.q.day	ja	absent	yes
uni.q.day	da	absent	yes
uni.q.day	nb	absent	yes
uni.q.day	sv	absent	yes
uni.q.day	fi	absent	yes
uni.q.day	tr	absent	yes
uni.q.day	hu	absent	yes
uni.q.day	sa	absent	yes
uni.q.week	en	absent	yes
uni.q.week	ru	absent	yes
uni.q.week	lv	absent	yes
uni.q.week	th	absent	yes
uni.q.week	gd	absent	yes
uni.q.week	tt	absent	yes
uni.q.week	uk	absent	yes
uni.q.week	cs	absent	yes
uni.q.week	zh	absent	yes
uni.q.week	ko	absent	yes
uni.q.week	ar	absent	yes
uni.q.week	nl-be	absent	yes
uni.q.week	es	absent	yes
uni.q.week	nl	absent	yes
uni.q.week	de	absent	yes
uni.q.week	fr	absent	yes
uni.q.week	he	absent	yes
uni.q.week	hi	absent	yes
uni.q.week	bn	absent	yes
uni.q.week	fa	absent	yes
uni.q.week	ur	absent	yes
uni.q.week	ja	absent	yes
uni.q.week	da	absent	yes
uni.q.week	nb	absent	yes
uni.q.week	sv	absent	yes
uni.q.week	fi	absent	yes
uni.q.week	tr	absent	yes
uni.q.week	hu	absent	yes
